Resource Provider,Resource Type,Operation Name,Operation Display Name,Operation Description,Data Action
microsoft.aadiam,privateLinkForAzureAD/privateLinkResources,microsoft.aadiam/privateLinkForAzureAD/privateLinkResources/delete,PrivateLinkResources read,Delete PrivateLinkResources,false
microsoft.aadiam,tenants/providers/Microsoft.Insights/logDefinitions,microsoft.aadiam/tenants/providers/Microsoft.Insights/logDefinitions/read,Read tenants log definitions,Gets the available logs for tenants,false
microsoft.aadiam,tenants/providers/Microsoft.Insights/diagnosticSettings,microsoft.aadiam/tenants/providers/Microsoft.Insights/diagnosticSettings/read,Read diagnostic setting,Gets the diagnostic setting for the resource,false
microsoft.aadiam,tenants/providers/Microsoft.Insights/diagnosticSettings,microsoft.aadiam/tenants/providers/Microsoft.Insights/diagnosticSettings/write,Write diagnostic setting,Creates or updates the diagnostic setting for the resource,false
Microsoft.Addons,,Microsoft.Addons/register/action,Register for Microsoft.Addons,Register the specified subscription with Microsoft.Addons,false
Microsoft.Addons,supportProviders,Microsoft.Addons/supportProviders/listsupportplaninfo/action,List support plan information.,Lists current support plan information for the specified subscription.,false
Microsoft.Addons,supportProviders/supportPlanTypes,Microsoft.Addons/supportProviders/supportPlanTypes/read,Get Canonical support plan state,Get the specified Canonical support plan state.,false
Microsoft.Addons,supportProviders/supportPlanTypes,Microsoft.Addons/supportProviders/supportPlanTypes/write,Adds a Canonical support plan.,Adds the Canonical support plan type specified.,false
Microsoft.Addons,supportProviders/supportPlanTypes,Microsoft.Addons/supportProviders/supportPlanTypes/delete,Removes the Canonical support plan,Removes the specified Canonical support plan,false
Microsoft.Addons,operations,Microsoft.Addons/operations/read,Get RP operations.,Gets supported RP operations.,false
Microsoft.ADHybridHealthService,,Microsoft.ADHybridHealthService/configuration/action,Updates Tenant Configuration.,Updates Tenant Configuration.,false
Microsoft.ADHybridHealthService,,Microsoft.ADHybridHealthService/services/action,Updates a service.,Updates a service instance in the tenant.,false
Microsoft.ADHybridHealthService,,Microsoft.ADHybridHealthService/addsservices/action,Create a new forest.,Create a new forest for the tenant.,false
Microsoft.ADHybridHealthService,,Microsoft.ADHybridHealthService/register/action,Registers the ADHybrid Health Service Resource Provider.,Registers the ADHybrid Health Service Resource Provider and enables the creation of ADHybrid Health Service resource.,false
Microsoft.ADHybridHealthService,,Microsoft.ADHybridHealthService/unregister/action,Unregisters the ADHybrid Health Service Resource Provider.,Unregisters the subscription for ADHybrid Health Service Resource Provider.,false
Microsoft.ADHybridHealthService,addsservices,Microsoft.ADHybridHealthService/addsservices/write,Creates or Updates the ADDomainService.,Creates or Updates the ADDomainService instance for the tenant.,false
Microsoft.ADHybridHealthService,addsservices,Microsoft.ADHybridHealthService/addsservices/servicemembers/action,Add a server.,Add a server instance to the service.,false
Microsoft.ADHybridHealthService,addsservices,Microsoft.ADHybridHealthService/addsservices/read,Gets Service details.,Gets Service details for the specified service name.,false
Microsoft.ADHybridHealthService,addsservices,Microsoft.ADHybridHealthService/addsservices/delete,Deletes a Service.,Deletes a Service and it's servers along with Health data.,false
Microsoft.ADHybridHealthService,addsservices/addomainservicemembers,Microsoft.ADHybridHealthService/addsservices/addomainservicemembers/read,Gets all servers.,Gets all servers for the specified service name.,false
Microsoft.ADHybridHealthService,addsservices/alerts,Microsoft.ADHybridHealthService/addsservices/alerts/read,Gets alerts for the forest.,"Gets alerts details for the forest like alertid, alert raised date, alert last detected, alert description, last updated, alert level, alert state, alert troubleshooting links etc. .",false
Microsoft.ADHybridHealthService,addsservices/configuration,Microsoft.ADHybridHealthService/addsservices/configuration/read,Gets Service Configuration for the forest.,"Gets Service Configuration for the forest. Example- Forest Name, Functionla Level, Domain Naming master FSMO role, Schema master FSMO role etc.",false
Microsoft.ADHybridHealthService,addsservices/dimensions,Microsoft.ADHybridHealthService/addsservices/dimensions/read,Gets the domains and sites details for the forest.,"Gets the domains and sites details for the forest. Example- health status, active alerts, resolved alerts, properties like Domain Functional Level, Forest, Infrastructure Master, PDC, RID master etc.",false
Microsoft.ADHybridHealthService,addsservices/features/userpreference,Microsoft.ADHybridHealthService/addsservices/features/userpreference/read,Gets the user preference setting.,"Gets the user preference setting for the forest. Example- MetricCounterName like ldapsuccessfulbinds, ntlmauthentications, kerberosauthentications, addsinsightsagentprivatebytes, ldapsearches. Settings for the UI Charts etc.",false
Microsoft.ADHybridHealthService,addsservices/forestsummary,Microsoft.ADHybridHealthService/addsservices/forestsummary/read,Gets forest summary.,"Gets forest summary for the given forest like forest name, number of domains under this forest, number of sites and sites details etc.",false
Microsoft.ADHybridHealthService,addsservices/metricmetadata,Microsoft.ADHybridHealthService/addsservices/metricmetadata/read,Gets the list of supported metrics for a given service.,"Gets the list of supported metrics for a given service. For example Extranet Account Lockouts, Total Failed Requests, Outstanding Token Requests (Proxy), Token Requests /sec etc for ADFS service. NTLM Authentications/sec, LDAP Successful Binds/sec, LDAP Bind Time, LDAP Active Threads, Kerberos Authentications/sec, ATQ Threads Total etc for ADDomainService. Run Profile Latency, TCP Connections Established, Insights Agent Private Bytes,Export Statistics to Azure AD for ADSync service.",false
Microsoft.ADHybridHealthService,addsservices/metrics/groups,Microsoft.ADHybridHealthService/addsservices/metrics/groups/read,Gets information about different service metrics.,"Given a service, this API gets the metrics information.For example, this API can be used to get information related to: Extranet Account Lockouts, Total Failed Requests, Outstanding Token Requests (Proxy), Token Requests /sec etc for ADFederation service. NTLM Authentications/sec, LDAP Successful Binds/sec, LDAP Bind Time, LDAP Active Threads, Kerberos Authentications/sec, ATQ Threads Total etc for ADDomain Service. Run Profile Latency, TCP Connections Established, Insights Agent Private Bytes,Export Statistics to Azure AD for Sync Service.",false
Microsoft.ADHybridHealthService,addsservices/premiumcheck,Microsoft.ADHybridHealthService/addsservices/premiumcheck/read,Gets onboarded ADDomainServices for a premium tenant.,This API gets the list of all onboarded ADDomainServices for a premium tenant.,false
Microsoft.ADHybridHealthService,addsservices/replicationdetails,Microsoft.ADHybridHealthService/addsservices/replicationdetails/read,Gets replication details.,Gets replication details for all the servers for the specified service name.,false
Microsoft.ADHybridHealthService,addsservices/replicationstatus,Microsoft.ADHybridHealthService/addsservices/replicationstatus/read,Gets replication error status.,Gets the number of domain controllers and their replication errors if any.,false
Microsoft.ADHybridHealthService,addsservices/replicationsummary,Microsoft.ADHybridHealthService/addsservices/replicationsummary/read,Gets domain controller replication summary.,Gets complete domain controller list along with replication details for the given forest.,false
Microsoft.ADHybridHealthService,addsservices/servicemembers,Microsoft.ADHybridHealthService/addsservices/servicemembers/delete,Deletes a server.,Deletes a server for a given service and tenant.,false
Microsoft.ADHybridHealthService,addsservices/servicemembers/credentials,Microsoft.ADHybridHealthService/addsservices/servicemembers/credentials/read,Gets the credentials for service authentication.,"During server registration of ADDomainService, this api is called to get the credentials for onboarding new servers.",false
Microsoft.ADHybridHealthService,logs,Microsoft.ADHybridHealthService/logs/read,Gets agent logs.,Gets agent installation and registration logs for the tenant.,false
Microsoft.ADHybridHealthService,logs/contents,Microsoft.ADHybridHealthService/logs/contents/read,Gets the content of a log stored in blob.,Gets the content of agent installation and registration logs stored in blob.,false
Microsoft.ADHybridHealthService,reports/availabledeployments,Microsoft.ADHybridHealthService/reports/availabledeployments/read,Gets list of available regions for DevOps.,"Gets list of available regions, used by DevOps to support customer incidents.",false
