Resource Provider,Resource Type,Operation Name,Operation Display Name,Operation Description,Data Action
Microsoft.DocumentDB,databaseAccounts/apis/databases/collections,Microsoft.DocumentDB/databaseAccounts/apis/databases/collections/read,(Deprecated. Please use resource paths without '/apis/' segment) Read collection(s),(Deprecated. Please use resource paths without '/apis/' segment) Read a collection or list all the collections. Only applicable to API types: 'mongodb'.,false
Microsoft.DocumentDB,databaseAccounts/apis/databases/collections,Microsoft.DocumentDB/databaseAccounts/apis/databases/collections/delete,(Deprecated. Please use resource paths without '/apis/' segment) Delete collection,(Deprecated. Please use resource paths without '/apis/' segment) Delete a collection. Only applicable to API types: 'mongodb'.,false
Microsoft.DocumentDB,databaseAccounts/apis/databases/collections/operationResults,Microsoft.DocumentDB/databaseAccounts/apis/databases/collections/operationResults/read,(Deprecated. Please use resource paths without '/apis/' segment) Read operation results,(Deprecated. Please use resource paths without '/apis/' segment) Read status of the asynchronous operation. Only applicable to API types: 'mongodb'.,false
Microsoft.DocumentDB,databaseAccounts/apis/databases/collections/settings,Microsoft.DocumentDB/databaseAccounts/apis/databases/collections/settings/write,(Deprecated. Please use resource paths without '/apis/' segment) Write collection throughput,(Deprecated. Please use resource paths without '/apis/' segment) Update a collection throughput. Only applicable to API types: 'mongodb'. Only applicable for setting types: 'throughput'.,false
Microsoft.DocumentDB,databaseAccounts/apis/databases/collections/settings,Microsoft.DocumentDB/databaseAccounts/apis/databases/collections/settings/read,(Deprecated. Please use resource paths without '/apis/' segment) Read collection throughput,(Deprecated. Please use resource paths without '/apis/' segment) Read a collection throughput. Only applicable to API types: 'mongodb'. Only applicable for setting types: 'throughput'.,false
Microsoft.DocumentDB,databaseAccounts/apis/databases/collections/settings/operationResults,Microsoft.DocumentDB/databaseAccounts/apis/databases/collections/settings/operationResults/read,(Deprecated. Please use resource paths without '/apis/' segment) Read operation results,(Deprecated. Please use resource paths without '/apis/' segment) Read status of the asynchronous operation. Only applicable to API types: 'mongodb'. Only applicable for setting types: 'throughput'.,false
Microsoft.DocumentDB,databaseAccounts/apis/databases/containers,Microsoft.DocumentDB/databaseAccounts/apis/databases/containers/write,(Deprecated. Please use resource paths without '/apis/' segment) Write container,(Deprecated. Please use resource paths without '/apis/' segment) Create or update a container. Only applicable to API types: 'sql'.,false
Microsoft.DocumentDB,databaseAccounts/apis/databases/containers,Microsoft.DocumentDB/databaseAccounts/apis/databases/containers/read,(Deprecated. Please use resource paths without '/apis/' segment) Read container(s),(Deprecated. Please use resource paths without '/apis/' segment) Read a container or list all the containers. Only applicable to API types: 'sql'.,false
Microsoft.DocumentDB,databaseAccounts/apis/databases/containers,Microsoft.DocumentDB/databaseAccounts/apis/databases/containers/delete,(Deprecated. Please use resource paths without '/apis/' segment) Delete container,(Deprecated. Please use resource paths without '/apis/' segment) Delete a container. Only applicable to API types: 'sql'.,false
Microsoft.DocumentDB,databaseAccounts/apis/databases/containers/operationResults,Microsoft.DocumentDB/databaseAccounts/apis/databases/containers/operationResults/read,(Deprecated. Please use resource paths without '/apis/' segment) Read operation results,(Deprecated. Please use resource paths without '/apis/' segment) Read status of the asynchronous operation. Only applicable to API types: 'sql'.,false
Microsoft.DocumentDB,databaseAccounts/apis/databases/containers/settings,Microsoft.DocumentDB/databaseAccounts/apis/databases/containers/settings/write,(Deprecated. Please use resource paths without '/apis/' segment) Write container throughput,(Deprecated. Please use resource paths without '/apis/' segment) Update a container throughput. Only applicable to API types: 'sql'. Only applicable for setting types: 'throughput'.,false
Microsoft.DocumentDB,databaseAccounts/apis/databases/containers/settings,Microsoft.DocumentDB/databaseAccounts/apis/databases/containers/settings/read,(Deprecated. Please use resource paths without '/apis/' segment) Read container throughput,(Deprecated. Please use resource paths without '/apis/' segment) Read a container throughput. Only applicable to API types: 'sql'. Only applicable for setting types: 'throughput'.,false
Microsoft.DocumentDB,databaseAccounts/apis/databases/containers/settings/operationResults,Microsoft.DocumentDB/databaseAccounts/apis/databases/containers/settings/operationResults/read,(Deprecated. Please use resource paths without '/apis/' segment) Read operation results,(Deprecated. Please use resource paths without '/apis/' segment) Read status of the asynchronous operation. Only applicable to API types: 'sql'. Only applicable for setting types: 'throughput'.,false
Microsoft.DocumentDB,databaseAccounts/apis/databases/operationResults,Microsoft.DocumentDB/databaseAccounts/apis/databases/operationResults/read,(Deprecated. Please use resource paths without '/apis/' segment) Read operation results,"(Deprecated. Please use resource paths without '/apis/' segment) Read status of the asynchronous operation. Only applicable to API types: 'sql', 'mongodb', 'gremlin'.",false
Microsoft.DocumentDB,databaseAccounts/apis/databases/settings,Microsoft.DocumentDB/databaseAccounts/apis/databases/settings/write,(Deprecated. Please use resource paths without '/apis/' segment) Write database throughput,"(Deprecated. Please use resource paths without '/apis/' segment) Update a database throughput. Only applicable to API types: 'sql', 'mongodb', 'gremlin'. Only applicable for setting types: 'throughput'.",false
Microsoft.DocumentDB,databaseAccounts/apis/databases/settings,Microsoft.DocumentDB/databaseAccounts/apis/databases/settings/read,(Deprecated. Please use resource paths without '/apis/' segment) Read database throughput,"(Deprecated. Please use resource paths without '/apis/' segment) Read a database throughput. Only applicable to API types: 'sql', 'mongodb', 'gremlin'. Only applicable for setting types: 'throughput'.",false
Microsoft.DocumentDB,databaseAccounts/apis/databases/settings/operationResults,Microsoft.DocumentDB/databaseAccounts/apis/databases/settings/operationResults/read,(Deprecated. Please use resource paths without '/apis/' segment) Read operation results,"(Deprecated. Please use resource paths without '/apis/' segment) Read status of the asynchronous operation. Only applicable to API types: 'sql', 'mongodb', 'gremlin'. Only applicable for setting types: 'throughput'.",false
Microsoft.DocumentDB,databaseAccounts/apis/databases/graphs,Microsoft.DocumentDB/databaseAccounts/apis/databases/graphs/write,(Deprecated. Please use resource paths without '/apis/' segment) Write graph,(Deprecated. Please use resource paths without '/apis/' segment) Create or update a graph. Only applicable to API types: 'gremlin'.,false
Microsoft.DocumentDB,databaseAccounts/apis/databases/graphs,Microsoft.DocumentDB/databaseAccounts/apis/databases/graphs/read,(Deprecated. Please use resource paths without '/apis/' segment) Read graph(s),(Deprecated. Please use resource paths without '/apis/' segment) Read a graph or list all the graphs. Only applicable to API types: 'gremlin'.,false
Microsoft.DocumentDB,databaseAccounts/apis/databases/graphs,Microsoft.DocumentDB/databaseAccounts/apis/databases/graphs/delete,(Deprecated. Please use resource paths without '/apis/' segment) Delete graph,(Deprecated. Please use resource paths without '/apis/' segment) Delete a graph. Only applicable to API types: 'gremlin'.,false
Microsoft.DocumentDB,databaseAccounts/apis/databases/graphs/operationResults,Microsoft.DocumentDB/databaseAccounts/apis/databases/graphs/operationResults/read,(Deprecated. Please use resource paths without '/apis/' segment) Read operation results,(Deprecated. Please use resource paths without '/apis/' segment) Read status of the asynchronous operation. Only applicable to API types: 'gremlin'.,false
Microsoft.DocumentDB,databaseAccounts/apis/databases/graphs/settings,Microsoft.DocumentDB/databaseAccounts/apis/databases/graphs/settings/write,(Deprecated. Please use resource paths without '/apis/' segment) Write gremlin throughput,(Deprecated. Please use resource paths without '/apis/' segment) Update a graph throughput. Only applicable to API types: 'gremlin'. Only applicable for setting types: 'throughput'.,false
Microsoft.DocumentDB,databaseAccounts/apis/databases/graphs/settings,Microsoft.DocumentDB/databaseAccounts/apis/databases/graphs/settings/read,(Deprecated. Please use resource paths without '/apis/' segment) Read graph throughput,(Deprecated. Please use resource paths without '/apis/' segment) Read a graph throughput. Only applicable to API types: 'gremlin'. Only applicable for setting types: 'throughput'.,false
Microsoft.DocumentDB,databaseAccounts/apis/databases/graphs/settings/operationResults,Microsoft.DocumentDB/databaseAccounts/apis/databases/graphs/settings/operationResults/read,(Deprecated. Please use resource paths without '/apis/' segment) Read operation results,(Deprecated. Please use resource paths without '/apis/' segment) Read status of the asynchronous operation. Only applicable to API types: 'gremlin'. Only applicable for setting types: 'throughput'.,false
Microsoft.DocumentDB,databaseAccounts/networkSecurityPerimeterAssociationProxies,Microsoft.DocumentDB/databaseAccounts/networkSecurityPerimeterAssociationProxies/read,Read NSP association proxies,Read association proxies related to network security perimeter,false
Microsoft.DocumentDB,databaseAccounts/networkSecurityPerimeterAssociationProxies,Microsoft.DocumentDB/databaseAccounts/networkSecurityPerimeterAssociationProxies/write,Write NSP association proxies,Write association proxies related to network security perimeter,false
Microsoft.DocumentDB,databaseAccounts/networkSecurityPerimeterAssociationProxies,Microsoft.DocumentDB/databaseAccounts/networkSecurityPerimeterAssociationProxies/delete,Delete NSP association proxies,Deletes association proxies related to network security perimeter,false
Microsoft.DocumentDB,databaseAccounts/operationResults,Microsoft.DocumentDB/databaseAccounts/operationResults/read,Read operation status,Read status of the asynchronous operation,false
Microsoft.DocumentDB,databaseAccounts/providers/Microsoft.Insights/diagnosticSettings,Microsoft.DocumentDB/databaseAccounts/providers/Microsoft.Insights/diagnosticSettings/read,Write diagnostic setting,Gets the diagnostic setting for the resource,false
Microsoft.DocumentDB,databaseAccounts/providers/Microsoft.Insights/diagnosticSettings,Microsoft.DocumentDB/databaseAccounts/providers/Microsoft.Insights/diagnosticSettings/write,Write diagnostic setting,Creates or updates the diagnostic setting for the resource,false
Microsoft.DocumentDB,databaseAccounts/providers/Microsoft.Insights/logDefinitions,Microsoft.DocumentDB/databaseAccounts/providers/Microsoft.Insights/logDefinitions/read,Read database account log definitions,Gets the available log catageries for Database Account,false
Microsoft.DocumentDB,databaseAccounts/providers/Microsoft.Insights/metricDefinitions,Microsoft.DocumentDB/databaseAccounts/providers/Microsoft.Insights/metricDefinitions/read,Get database account metric definitions,Gets the available metrics for the database Account,false
Microsoft.DocumentDB,databaseAccounts/databases/collections/partitions,Microsoft.DocumentDB/databaseAccounts/databases/collections/partitions/read,Read database account partitions in a collection,Read database account partitions in a collection,false
Microsoft.DocumentDB,databaseAccounts/databases/collections/partitions/metrics,Microsoft.DocumentDB/databaseAccounts/databases/collections/partitions/metrics/read,Read database account partition level metrics,Read database account partition level metrics,false
Microsoft.DocumentDB,databaseAccounts/databases/collections/partitions/usages,Microsoft.DocumentDB/databaseAccounts/databases/collections/partitions/usages/read,Read database account partition level usages,Read database account partition level usages,false
Microsoft.DocumentDB,databaseAccounts/privateEndpointConnections,Microsoft.DocumentDB/databaseAccounts/privateEndpointConnections/read,Microsoft.DocumentDB/databaseAccounts/privateEndpointConnections/read,Read a private endpoint connection or list all the private endpoint connections of a Database Account,false
Microsoft.DocumentDB,databaseAccounts/privateEndpointConnections,Microsoft.DocumentDB/databaseAccounts/privateEndpointConnections/write,Microsoft.DocumentDB/databaseAccounts/privateEndpointConnections/write,Create or update a private endpoint connection of a Database Account,false
Microsoft.DocumentDB,databaseAccounts/privateEndpointConnections,Microsoft.DocumentDB/databaseAccounts/privateEndpointConnections/delete,Microsoft.DocumentDB/databaseAccounts/privateEndpointConnections/delete,Delete a private endpoint connection of a Database Account,false
Microsoft.DocumentDB,databaseAccounts/privateEndpointConnections/operationResults,Microsoft.DocumentDB/databaseAccounts/privateEndpointConnections/operationResults/read,Microsoft.DocumentDB/databaseAccounts/privateEndpointConnections/operationResults/read,Read Status of privateEndpointConnenctions asynchronous operation,false
Microsoft.DocumentDB,databaseAccounts/privateEndpointConnectionProxies,Microsoft.DocumentDB/databaseAccounts/privateEndpointConnectionProxies/read,Microsoft.DocumentDB/databaseAccounts/privateEndpointConnectionProxies/read,Read a private endpoint connection proxy of Database Account,false
Microsoft.DocumentDB,databaseAccounts/privateEndpointConnectionProxies,Microsoft.DocumentDB/databaseAccounts/privateEndpointConnectionProxies/write,Microsoft.DocumentDB/databaseAccounts/privateEndpointConnectionProxies/write,Create or update a private endpoint connection proxy of Database Account,false
Microsoft.DocumentDB,databaseAccounts/privateEndpointConnectionProxies,Microsoft.DocumentDB/databaseAccounts/privateEndpointConnectionProxies/delete,Microsoft.DocumentDB/databaseAccounts/privateEndpointConnectionProxies/delete,Delete a private endpoint connection proxy of Database Account,false
Microsoft.DocumentDB,databaseAccounts/privateEndpointConnectionProxies,Microsoft.DocumentDB/databaseAccounts/privateEndpointConnectionProxies/validate/action,Microsoft.DocumentDB/databaseAccounts/privateEndpointConnectionProxies/validate/action,Validate a private endpoint connection proxy of Database Account,false
Microsoft.DocumentDB,databaseAccounts/privateEndpointConnectionProxies/operationResults,Microsoft.DocumentDB/databaseAccounts/privateEndpointConnectionProxies/operationResults/read,Microsoft.DocumentDB/databaseAccounts/privateEndpointConnectionProxies/operationResults/read,Read Status of private endpoint connection proxy asynchronous operation,false
Microsoft.DocumentDB,databaseAccounts/privateLinkResources,Microsoft.DocumentDB/databaseAccounts/privateLinkResources/read,Microsoft.DocumentDB/databaseAccounts/privateLinkResources/read,Read a private link resource or list all the private link resources of a Database Account,false
Microsoft.DocumentDB,databaseAccounts/region/metrics,Microsoft.DocumentDB/databaseAccounts/region/metrics/read,Read region database account metrics,Reads the region and database account metrics.,false
Microsoft.DocumentDB,databaseAccounts/percentile,Microsoft.DocumentDB/databaseAccounts/percentile/read,Read latency percentiles,Read percentiles of replication latencies,false
Microsoft.DocumentDB,databaseAccounts/percentile/metrics,Microsoft.DocumentDB/databaseAccounts/percentile/metrics/read,Read latency metrics,Read latency metrics,false
Microsoft.DocumentDB,databaseAccounts/percentile/sourceRegion/targetRegion/metrics,Microsoft.DocumentDB/databaseAccounts/percentile/sourceRegion/targetRegion/metrics/read,Read latency metrics for a specific source and target region,Read latency metrics for a specific source and target region,false
Microsoft.DocumentDB,databaseAccounts/percentile/targetRegion/metrics,Microsoft.DocumentDB/databaseAccounts/percentile/targetRegion/metrics/read,Read latency metricsfor a specific target region,Read latency metrics for a specific target region,false
Microsoft.DocumentDB,databaseAccounts/metricDefinitions,Microsoft.DocumentDB/databaseAccounts/metricDefinitions/read,Read database account metrics definitions,Reads the database account metrics definitions.,false
Microsoft.DocumentDB,databaseAccounts/metrics,Microsoft.DocumentDB/databaseAccounts/metrics/read,Read database account metrics,Reads the database account metrics.,false
Microsoft.DocumentDB,databaseAccounts/databases/collections/partitionKeyRangeId/metrics,Microsoft.DocumentDB/databaseAccounts/databases/collections/partitionKeyRangeId/metrics/read,Read database account partition key level metrics,Read database account partition key level metrics,false
Microsoft.DocumentDB,databaseAccounts/readonlykeys,Microsoft.DocumentDB/databaseAccounts/readonlykeys/read,Read database account readonly keys,Reads the database account readonly keys.,false
Microsoft.DocumentDB,databaseAccounts/usages,Microsoft.DocumentDB/databaseAccounts/usages/read,Read database account usages,Reads the database account usages.,false
Microsoft.DocumentDB,databaseAccounts/databases/metricDefinitions,Microsoft.DocumentDB/databaseAccounts/databases/metricDefinitions/read,Read database metric definitions,Reads the database metric definitions,false
Microsoft.DocumentDB,databaseAccounts/databases/metrics,Microsoft.DocumentDB/databaseAccounts/databases/metrics/read,Read database metrics,Reads the database metrics.,false
Microsoft.DocumentDB,databaseAccounts/databases/usages,Microsoft.DocumentDB/databaseAccounts/databases/usages/read,Read database usages,Reads the database usages.,false
Microsoft.DocumentDB,databaseAccounts/graphs,Microsoft.DocumentDB/databaseAccounts/graphs/write,Write Graph,Create a Graph.,false
Microsoft.DocumentDB,databaseAccounts/graphs,Microsoft.DocumentDB/databaseAccounts/graphs/read,Read graph(s),Read a Graph or list all the graphs.,false
Microsoft.DocumentDB,databaseAccounts/graphs,Microsoft.DocumentDB/databaseAccounts/graphs/delete,Delete Graph,Delete a Graph.,false
Microsoft.DocumentDB,databaseAccounts/graphs/operationResults,Microsoft.DocumentDB/databaseAccounts/graphs/operationResults/read,Read operation results,Read status of the asynchronous operation.,false
Microsoft.DocumentDB,databaseAccounts/graphs/throughputSettings,Microsoft.DocumentDB/databaseAccounts/graphs/throughputSettings/write,Write Graph throughput,Update a Graph throughput.,false
Microsoft.DocumentDB,databaseAccounts/graphs/throughputSettings,Microsoft.DocumentDB/databaseAccounts/graphs/throughputSettings/read,Read Graph throughput,Read a Graph throughput.,false
Microsoft.DocumentDB,databaseAccounts/graphs/throughputSettings,Microsoft.DocumentDB/databaseAccounts/graphs/throughputSettings/migrateToAutoscale/action,Migrate Graph offer to autoscale,Migrate Graph offer to autoscale.,false
Microsoft.DocumentDB,databaseAccounts/graphs/throughputSettings,Microsoft.DocumentDB/databaseAccounts/graphs/throughputSettings/migrateToManualThroughput/action,Migrate a Graph throughput offer to manual throughput,Migrate a Graph throughput offer to manual throughput.,false
Microsoft.DocumentDB,databaseAccounts/graphs/throughputSettings/migrateToAutoscale/operationResults,Microsoft.DocumentDB/databaseAccounts/graphs/throughputSettings/migrateToAutoscale/operationResults/read,Read operation results,Read status of the asynchronous operation.,false
Microsoft.DocumentDB,databaseAccounts/graphs/throughputSettings/migrateToManualThroughput/operationResults,Microsoft.DocumentDB/databaseAccounts/graphs/throughputSettings/migrateToManualThroughput/operationResults/read,Read operation results,Read status of the asynchronous operation.,false
Microsoft.DocumentDB,databaseAccounts/graphs/throughputSettings/operationResults,Microsoft.DocumentDB/databaseAccounts/graphs/throughputSettings/operationResults/read,Read operation results,Read status of the asynchronous operation.,false
Microsoft.DocumentDB,databaseAccounts/gremlinDatabases,Microsoft.DocumentDB/databaseAccounts/gremlinDatabases/write,Write Gremlin database,Create a Gremlin database.,false
Microsoft.DocumentDB,databaseAccounts/gremlinDatabases,Microsoft.DocumentDB/databaseAccounts/gremlinDatabases/read,Read Gremlin database(s),Read a Gremlin database or list all the Gremlin databases.,false
Microsoft.DocumentDB,databaseAccounts/gremlinDatabases,Microsoft.DocumentDB/databaseAccounts/gremlinDatabases/delete,Delete Gremlin database,Delete a Gremlin database.,false
Microsoft.DocumentDB,databaseAccounts/gremlinDatabases/operationResults,Microsoft.DocumentDB/databaseAccounts/gremlinDatabases/operationResults/read,Read operation results,Read status of the asynchronous operation.,false
Microsoft.DocumentDB,databaseAccounts/gremlinDatabases/throughputSettings,Microsoft.DocumentDB/databaseAccounts/gremlinDatabases/throughputSettings/write,Write Gremlin database throughput,Update a Gremlin database throughput.,false
Microsoft.DocumentDB,databaseAccounts/gremlinDatabases/throughputSettings,Microsoft.DocumentDB/databaseAccounts/gremlinDatabases/throughputSettings/read,Read Gremlin database throughput,Read a Gremlin database throughput.,false
Microsoft.DocumentDB,databaseAccounts/gremlinDatabases/throughputSettings,Microsoft.DocumentDB/databaseAccounts/gremlinDatabases/throughputSettings/migrateToAutoscale/action,Migrate Gremlin Database offer to autoscale,Migrate Gremlin Database offer to autoscale.,false
Microsoft.DocumentDB,databaseAccounts/gremlinDatabases/throughputSettings,Microsoft.DocumentDB/databaseAccounts/gremlinDatabases/throughputSettings/migrateToManualThroughput/action,Migrate Gremlin Database offer to to manual throughput,Migrate Gremlin Database offer to to manual throughput.,false
Microsoft.DocumentDB,databaseAccounts/gremlinDatabases/throughputSettings/migrateToAutoscale/operationResults,Microsoft.DocumentDB/databaseAccounts/gremlinDatabases/throughputSettings/migrateToAutoscale/operationResults/read,Read operation results,Read status of the asynchronous operation.,false
Microsoft.DocumentDB,databaseAccounts/gremlinDatabases/throughputSettings/migrateToManualThroughput/operationResults,Microsoft.DocumentDB/databaseAccounts/gremlinDatabases/throughputSettings/migrateToManualThroughput/operationResults/read,Read operation results,Read status of the asynchronous operation.,false
Microsoft.DocumentDB,databaseAccounts/gremlinDatabases/throughputSettings/operationResults,Microsoft.DocumentDB/databaseAccounts/gremlinDatabases/throughputSettings/operationResults/read,Read operation results,Read status of the asynchronous operation.,false
Microsoft.DocumentDB,databaseAccounts/gremlinDatabases/graphs,Microsoft.DocumentDB/databaseAccounts/gremlinDatabases/graphs/write,Write Gremlin graph,Create or update a Gremlin graph.,false
Microsoft.DocumentDB,databaseAccounts/gremlinDatabases/graphs,Microsoft.DocumentDB/databaseAccounts/gremlinDatabases/graphs/read,Read Gremlin graph(s),Read a Gremlin graph or list all the Gremlin graphs.,false
Microsoft.DocumentDB,databaseAccounts/gremlinDatabases/graphs,Microsoft.DocumentDB/databaseAccounts/gremlinDatabases/graphs/delete,Delete Gremlin graph,Delete a Gremlin graph.,false
Microsoft.DocumentDB,databaseAccounts/gremlinDatabases/graphs/operationResults,Microsoft.DocumentDB/databaseAccounts/gremlinDatabases/graphs/operationResults/read,Read operation results,Read status of the asynchronous operation.,false
Microsoft.DocumentDB,databaseAccounts/gremlinDatabases/graphs/throughputSettings,Microsoft.DocumentDB/databaseAccounts/gremlinDatabases/graphs/throughputSettings/write,Write Gremlin graph throughput,Update a Gremlin graph throughput.,false
Microsoft.DocumentDB,databaseAccounts/gremlinDatabases/graphs/throughputSettings,Microsoft.DocumentDB/databaseAccounts/gremlinDatabases/graphs/throughputSettings/read,Read Gremlin graph throughput,Read a Gremlin graph throughput.,false
Microsoft.DocumentDB,databaseAccounts/gremlinDatabases/graphs/throughputSettings,Microsoft.DocumentDB/databaseAccounts/gremlinDatabases/graphs/throughputSettings/migrateToAutoscale/action,Migrate Gremlin graph offer to autoscale,Migrate Gremlin graph offer to autoscale.,false
Microsoft.DocumentDB,databaseAccounts/gremlinDatabases/graphs/throughputSettings,Microsoft.DocumentDB/databaseAccounts/gremlinDatabases/graphs/throughputSettings/migrateToManualThroughput/action,Migrate Gremlin graph offer to to manual throughput,Migrate Gremlin graph offer to to manual throughput.,false
Microsoft.DocumentDB,databaseAccounts/gremlinDatabases/graphs/throughputSettings/operationResults,Microsoft.DocumentDB/databaseAccounts/gremlinDatabases/graphs/throughputSettings/operationResults/read,Read operation results,Read status of the asynchronous operation.,false
Microsoft.DocumentDB,databaseAccounts/gremlinDatabases/graphs/throughputSettings/migrateToAutoscale/operationResults,Microsoft.DocumentDB/databaseAccounts/gremlinDatabases/graphs/throughputSettings/migrateToAutoscale/operationResults/read,Read operation results,Read status of the asynchronous operation.,false
Microsoft.DocumentDB,databaseAccounts/gremlinDatabases/graphs/throughputSettings/migrateToManualThroughput/operationResults,Microsoft.DocumentDB/databaseAccounts/gremlinDatabases/graphs/throughputSettings/migrateToManualThroughput/operationResults/read,Read operation results,Read status of the asynchronous operation.,false
Microsoft.DocumentDB,databaseAccounts/apis/keyspaces,Microsoft.DocumentDB/databaseAccounts/apis/keyspaces/write,(Deprecated. Please use resource paths without '/apis/' segment) Write keyspace,(Deprecated. Please use resource paths without '/apis/' segment) Create a keyspace. Only applicable to API types: 'cassandra'.,false
Microsoft.DocumentDB,databaseAccounts/apis/keyspaces,Microsoft.DocumentDB/databaseAccounts/apis/keyspaces/read,(Deprecated. Please use resource paths without '/apis/' segment) Read keyspace(s),(Deprecated. Please use resource paths without '/apis/' segment) Read a keyspace or list all the keyspaces. Only applicable to API types: 'cassandra'.,false
Microsoft.DocumentDB,databaseAccounts/apis/keyspaces,Microsoft.DocumentDB/databaseAccounts/apis/keyspaces/delete,(Deprecated. Please use resource paths without '/apis/' segment) Delete keyspace,(Deprecated. Please use resource paths without '/apis/' segment) Delete a keyspace. Only applicable to API types: 'cassandra'.,false
Microsoft.DocumentDB,databaseAccounts/apis/keyspaces/operationResults,Microsoft.DocumentDB/databaseAccounts/apis/keyspaces/operationResults/read,(Deprecated. Please use resource paths without '/apis/' segment) Read operation results,(Deprecated. Please use resource paths without '/apis/' segment) Read status of the asynchronous operation. Only applicable to API types: 'cassandra'.,false
Microsoft.DocumentDB,databaseAccounts/apis/keyspaces/settings,Microsoft.DocumentDB/databaseAccounts/apis/keyspaces/settings/write,(Deprecated. Please use resource paths without '/apis/' segment) Write keyspace throughput,(Deprecated. Please use resource paths without '/apis/' segment) Update a keyspace throughput. Only applicable to API types: 'cassandra'. Only applicable for setting types: 'throughput'.,false
Microsoft.DocumentDB,databaseAccounts/apis/keyspaces/settings,Microsoft.DocumentDB/databaseAccounts/apis/keyspaces/settings/read,(Deprecated. Please use resource paths without '/apis/' segment) Read keyspace throughput,(Deprecated. Please use resource paths without '/apis/' segment) Read a keyspace throughput. Only applicable to API types: 'cassandra'. Only applicable for setting types: 'throughput'.,false
Microsoft.DocumentDB,databaseAccounts/apis/keyspaces/settings/operationResults,Microsoft.DocumentDB/databaseAccounts/apis/keyspaces/settings/operationResults/read,(Deprecated. Please use resource paths without '/apis/' segment) Read operation results,(Deprecated. Please use resource paths without '/apis/' segment) Read status of the asynchronous operation. Only applicable to API types: 'cassandra'. Only applicable for setting types: 'throughput'.,false
Microsoft.DocumentDB,databaseAccounts/apis/keyspaces/tables,Microsoft.DocumentDB/databaseAccounts/apis/keyspaces/tables/write,(Deprecated. Please use resource paths without '/apis/' segment) Write table,(Deprecated. Please use resource paths without '/apis/' segment) Create or update a table. Only applicable to API types: 'cassandra'.,false
Microsoft.DocumentDB,databaseAccounts/apis/keyspaces/tables,Microsoft.DocumentDB/databaseAccounts/apis/keyspaces/tables/read,(Deprecated. Please use resource paths without '/apis/' segment) Read table(s),(Deprecated. Please use resource paths without '/apis/' segment) Read a table or list all the tables. Only applicable to API types: 'cassandra'.,false
Microsoft.DocumentDB,databaseAccounts/apis/keyspaces/tables,Microsoft.DocumentDB/databaseAccounts/apis/keyspaces/tables/delete,(Deprecated. Please use resource paths without '/apis/' segment) Delete table,(Deprecated. Please use resource paths without '/apis/' segment) Delete a table. Only applicable to API types: 'cassandra'.,false
Microsoft.DocumentDB,databaseAccounts/apis/keyspaces/tables/operationResults,Microsoft.DocumentDB/databaseAccounts/apis/keyspaces/tables/operationResults/read,(Deprecated. Please use resource paths without '/apis/' segment) Read operation results,(Deprecated. Please use resource paths without '/apis/' segment) Read status of the asynchronous operation. Only applicable to API types: 'cassandra'.,false
Microsoft.DocumentDB,databaseAccounts/apis/keyspaces/tables/settings,Microsoft.DocumentDB/databaseAccounts/apis/keyspaces/tables/settings/write,(Deprecated. Please use resource paths without '/apis/' segment) Write table throughput,(Deprecated. Please use resource paths without '/apis/' segment) Update a table throughput. Only applicable to API types: 'cassandra'. Only applicable for setting types: 'throughput'.,false
Microsoft.DocumentDB,databaseAccounts/apis/keyspaces/tables/settings,Microsoft.DocumentDB/databaseAccounts/apis/keyspaces/tables/settings/read,(Deprecated. Please use resource paths without '/apis/' segment) Read table throughput,(Deprecated. Please use resource paths without '/apis/' segment) Read a table throughput. Only applicable to API types: 'cassandra'. Only applicable for setting types: 'throughput'.,false
Microsoft.DocumentDB,databaseAccounts/apis/keyspaces/tables/settings/operationResults,Microsoft.DocumentDB/databaseAccounts/apis/keyspaces/tables/settings/operationResults/read,(Deprecated. Please use resource paths without '/apis/' segment) Read operation results,(Deprecated. Please use resource paths without '/apis/' segment) Read status of the asynchronous operation. Only applicable to API types: 'cassandra'. Only applicable for setting types: 'throughput'.,false
Microsoft.DocumentDB,databaseAccounts/mongodbDatabases,Microsoft.DocumentDB/databaseAccounts/mongodbDatabases/write,Write MongoDB database,Create a MongoDB database.,false
Microsoft.DocumentDB,databaseAccounts/mongodbDatabases,Microsoft.DocumentDB/databaseAccounts/mongodbDatabases/read,Read MongoDB database(s),Read a MongoDB database or list all the MongoDB databases.,false
Microsoft.DocumentDB,databaseAccounts/mongodbDatabases,Microsoft.DocumentDB/databaseAccounts/mongodbDatabases/delete,Delete MongoDB database,Delete a MongoDB database.,false
Microsoft.DocumentDB,databaseAccounts/mongodbDatabases/collections,Microsoft.DocumentDB/databaseAccounts/mongodbDatabases/collections/write,Write MongoDB collection,Create or update a MongoDB collection.,false
Microsoft.DocumentDB,databaseAccounts/mongodbDatabases/collections,Microsoft.DocumentDB/databaseAccounts/mongodbDatabases/collections/read,Read MongoDB collection(s),Read a MongoDB collection or list all the MongoDB collections.,false
Microsoft.DocumentDB,databaseAccounts/mongodbDatabases/collections,Microsoft.DocumentDB/databaseAccounts/mongodbDatabases/collections/delete,Delete MongoDB collection,Delete a MongoDB collection.,false
Microsoft.DocumentDB,databaseAccounts/mongodbDatabases/collections,Microsoft.DocumentDB/databaseAccounts/mongodbDatabases/collections/partitionMerge/action,Merge the physical partitions of a MongoDB collection,Merge the physical partitions of a MongoDB collection,false
